top - 17:31:51 up  3:08,  3 users,  load average: 0.07, 0.14, 0.81
Tasks: 317 total,   1 running, 316 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.4 total,  13390.3 free,    940.4 used,    787.5 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13793.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     91 root      rt   0       0      0      0 S   0.0   0.0   0:00.10 migrati+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     97 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
    102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    103 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    109 root      rt   0       0      0      0 S   0.0   0.0   0:00.11 migrati+
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    115 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migrati+
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    121 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migrati+
    122 root      20   0       0      0      0 S   0.0   0.0   0:00.01 ksoftir+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    127 root      rt   0       0      0      0 S   0.0   0.0   0:00.13 migrati+
    128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    132 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    133 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migrati+
    134 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    139 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    140 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    141 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    142 root      20   0       0      0      0 S   0.0   0.0   0:00.01 khungta+
    143 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    146 root      20   0       0      0      0 S   0.0   0.0   0:00.44 kcompac+
    147 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    148 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    153 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    157 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    158 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
    164 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    166 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/122+
    168 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/123+
    169 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kswapd0
    170 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
    171 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    172 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/124+
    173 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/125+
    174 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/126+
    175 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/127+
    176 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/128+
