top - 16:54:17 up 15 min,  1 user,  load average: 0.07, 0.10, 0.04
Tasks: 322 total,   1 running, 321 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.5 sy,  0.0 ni, 99.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  14734.7 total,  13407.8 free,    937.2 used,    788.2 buff/cache     
MiB Swap:   4096.0 total,   4096.0 free,      0.0 used.  13797.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     82 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     83 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/11
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     85 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     86 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     87 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
     88 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/12
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     91 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/13
     96 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     97 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
     98 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
     99 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/14
    102 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    103 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
    104 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    105 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    107 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/15
    108 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    109 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
    110 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    113 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/16
    114 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    115 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 migrati+
    116 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/17
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    121 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
    122 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    125 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    127 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
    128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    130 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    132 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    133 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migrati+
    134 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    136 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    137 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    139 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    140 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
    141 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    142 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
    143 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    146 root      20   0       0      0      0 I   0.0   0.0   0:01.56 kworker+
    147 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kcompac+
    148 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    149 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    151 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
