USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          18  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/0]
root          19  0.0  0.0      0     0 ?        S    13:09   0:00 [kprobe-optimizer]
root          20  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/0]
root          21  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/0]
root          22  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/1]
root          23  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/1]
root          24  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/1]
root          25  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/1]
root          26  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/1:0-events_freezable]
root          27  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/1:0H-i915_cleanup]
root          28  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/2]
root          29  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/2]
root          30  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/2]
root          31  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/2]
root          32  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/2:0-events]
root          33  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/2:0H-i915_cleanup]
root          34  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/3]
root          35  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/3]
root          36  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/3]
root          37  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/3]
root          38  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/3:0-events]
root          39  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/3:0H-kblockd]
root          40  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/4]
root          41  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/4]
root          42  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/4]
root          43  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/4]
root          44  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/4:0-events]
root          45  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/4:0H-kblockd]
root          46  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/5]
root          47  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/5]
root          48  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/5]
root          49  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/5]
root          50  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/5:0-events]
root          51  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/5:0H-kblockd]
root          52  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/6]
root          53  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/6]
root          54  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/6]
root          55  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/6]
root          56  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/6:0-events]
root          57  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/6:0H-kblockd]
root          58  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/7]
root          59  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/7]
root          60  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/7]
root          61  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/7]
root          63  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/7:0H-kblockd]
root          64  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/8]
root          65  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/8]
root          66  0.0  0.0      0     0 ?        S    13:09   0:00 [migration/8]
root          67  0.0  0.0      0     0 ?        S    13:09   0:00 [ksoftirqd/8]
root          68  0.0  0.0      0     0 ?        I    13:09   0:00 [kworker/8:0-mm_percpu_wq]
root          69  0.0  0.0      0     0 ?        I<   13:09   0:00 [kworker/8:0H-kblockd]
root          70  0.0  0.0      0     0 ?        S    13:09   0:00 [cpuhp/9]
root          71  0.0  0.0      0     0 ?        S    13:09   0:00 [idle_inject/9]
